,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
450,751,2018-03-08,OFF_PEAK,1055.0,1196.0
451,1,2018-03-08,OFF_PEAK,865.0,1183.0
452,43,2018-03-09,PEAK,47.0,140.0
453,43,2018-03-09,OFF_PEAK,193.0,354.0
454,1,2018-03-09,OFF_PEAK,903.0,1311.0
455,751,2018-03-09,PEAK,327.0,438.0
456,749,2018-03-09,PEAK,534.0,683.0
457,749,2018-03-09,OFF_PEAK,1638.0,2184.0
458,751,2018-03-09,OFF_PEAK,927.0,1251.0
459,1,2018-03-09,PEAK,315.0,485.0
460,751,2018-03-10,OFF_PEAK,1186.0,1559.0
461,749,2018-03-10,OFF_PEAK,2408.0,3172.0
462,1,2018-03-10,OFF_PEAK,867.0,1262.0
463,43,2018-03-10,OFF_PEAK,261.0,515.0
464,751,2018-03-11,OFF_PEAK,1131.0,1532.0
465,749,2018-03-11,OFF_PEAK,2203.0,2766.0
466,1,2018-03-11,OFF_PEAK,770.0,1107.0
467,43,2018-03-11,OFF_PEAK,203.0,402.0
468,43,2018-03-12,OFF_PEAK,233.0,355.0
469,43,2018-03-12,PEAK,69.0,140.0
470,1,2018-03-12,PEAK,299.0,414.0
471,751,2018-03-12,PEAK,393.0,487.0
472,749,2018-03-12,OFF_PEAK,1818.0,2299.0
473,749,2018-03-12,PEAK,593.0,743.0
474,751,2018-03-12,OFF_PEAK,1094.0,1346.0
475,1,2018-03-12,OFF_PEAK,893.0,1211.0
476,43,2018-03-13,OFF_PEAK,181.0,288.0
477,43,2018-03-13,PEAK,65.0,112.0
478,1,2018-03-13,PEAK,336.0,464.0
479,749,2018-03-13,OFF_PEAK,1967.0,2337.0
480,749,2018-03-13,PEAK,712.0,787.0
481,751,2018-03-13,PEAK,432.0,474.0
482,751,2018-03-13,OFF_PEAK,1065.0,1195.0
483,1,2018-03-13,OFF_PEAK,999.0,1345.0
484,43,2018-03-14,PEAK,86.0,140.0
485,1,2018-03-14,PEAK,343.0,472.0
486,1,2018-03-14,OFF_PEAK,989.0,1316.0
487,43,2018-03-14,OFF_PEAK,213.0,356.0
488,749,2018-03-14,PEAK,694.0,811.0
489,751,2018-03-14,OFF_PEAK,1184.0,1376.0
490,751,2018-03-14,PEAK,400.0,497.0
491,749,2018-03-14,OFF_PEAK,1670.0,2020.0
492,751,2018-03-15,PEAK,286.0,462.0
493,751,2018-03-15,OFF_PEAK,964.0,1252.0
494,749,2018-03-15,PEAK,525.0,716.0
495,749,2018-03-15,OFF_PEAK,1559.0,2080.0
496,1,2018-03-15,OFF_PEAK,934.0,1330.0
497,43,2018-03-15,PEAK,39.0,140.0
498,1,2018-03-15,PEAK,334.0,518.0
499,43,2018-03-15,OFF_PEAK,171.0,354.0
500,749,2018-03-16,PEAK,554.0,683.0
501,751,2018-03-16,PEAK,308.0,419.0
502,749,2018-03-16,OFF_PEAK,1690.0,2242.0
503,1,2018-03-16,OFF_PEAK,666.0,1024.0
504,1,2018-03-16,PEAK,209.0,359.0
